DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			OC(=O)CCC1=C2CC3=C(CC(O)=O)C(CCC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=C(CC5=C(CC(O)=O)C(CCC(O)=O)=C(CC(N2)=C1CC(O)=O)N5)N4)N3	
			OC(=O)CCC1=C2CC3=C(CCC(O)=O)C(CC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=C(CC5=C(CC(O)=O)C(CCC(O)=O)=C(CC(N2)=C1CC(O)=O)N5)N4)N3	
			[H]N([H])[C]([H])(C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
			[H]O[C]1([H])[C]([H])(O[C]([H])(C([H])([H])OP(=O)(O[H])O[H])[C]1([H])OP(=O)(O[H])O[H])N1C([H])=NC2=C1N=C([H])N=C2N([H])[H]	
			[H]O[C]1([H])C([H])([H])[C]([H])(O[C]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H])N1C([H])=NC2=C1N=C(N([H])[H])N([H])C2=O	
			CCC1=C(C)C2=CC3=NC(=CC4=NC(C(CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C4C)=C4C(C(=O)OC)C(=O)C5=C(C)C(=CC1=N2)N=C45)C(C)=C3C=C	
			C[CH]1O[CH](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C=C2)[CH](OC(=O)C=CC2=CC=C(O)C=C2)[CH](OC(=O)C=CC2=CC=C(O)C=C2)[CH]1O	
DB00416			[I-].[I-].[H][C]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3	
			[H][C]12CCCN1C(=O)[C]([H])(CC1=CC=CC=C1)N1C(=O)[C](C)(O[C]21O)N=C(O)[C]1([H])CN(C)[C]2([H])CC3=CNC4=CC=CC(=C34)[C]2([H])C1	T3D2750
			[H]OC(=O)C([H])([H])[C]([H])(N([H])[H])C(=O)N([H])[C]([H])(C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]	
			CC(C)(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1OP([O-])([O-])=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC([O-])=O	
			[H]OC(=O)[C]([H])(N([H])[H])C([H])([H])C1=C([H])N(C([H])=N1)[C]1([H])O[C]([H])(C([H])([H])O[H])[C]([H])(O[H])[C]1([H])O[H]	
DB01337			[H][C]12C[CH]([CH](OC(C)=O)[C]1(C)CC[C]1([H])[C]2([H])CC[C]2([H])C[CH](OC(C)=O)[CH](C[C]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1	
			InChI=1SC13H14O8c14-7-8(15)10(11(17)18)20-13(9(7)16)21-12(19)6-4-2-1-3-5-6h1-5,7-10,13-16H,(H,17,18)t7-,8-,9+,10-,13-m0s1	
			[H][C]1(COP(O)(=O)OP(O)(=O)OC[CH]2O[CH]([CH](O)[CH]2O)N2C=NC3=C2N=CN=C3N)O[C]2([H])NC3=C(N[C]2([H])C(S)=C1S)C(=O)N=C(N)N3	
			CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5C6(C)CCC(OC7OC(C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(O)=O)C(C)(CO)C6CCC5(C)C4(C)CCC23C)O1	
DB01263			[H][C](C)(O)[C]([H])(CC)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C]2([H])CO[C](CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1	
			O[CH]1[CH](O)[CH](OC(=O)[CH]2O[CH](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)[CH](O)[CH](O)[CH]2O)O[CH]([CH]1O)C(O)=O	
			[H]OC(=O)C1([H])O[C]([H])(OC(=O)C2=C([H])N([H])C3=C([H])C([H])=C([H])C([H])=C23)[C]([H])(O[H])[C]([H])(O[H])[C]1([H])O[H]	
			CCC(C)C1NC(=O)CNC(=O)C2CC3=C(NC4=CC=CC=C34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2	T3D3590
			[H]OC([H])(C1=C([H])C(Cl)=C([H])C([H])=C1[H])C([H])(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	
			COC1OC(CO)C(OC(=O)CCCCC(=O)OC2C(O)C(OC)C(CO)OC2OC2C(O)C(O)C(OC3C(O)C(OC(C)=O)C(C)OC3CO)OC2COC2OC(CO)C(OC)C(O)C2O)C(O)C1O	
			CCC(C)C1NC(=O)CNC(=O)C2CC3=C(NC4=CC(O)=CC=C34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(O)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)CC)C(=O)N2	T3D3589
			[H]OC([H])([H])[C]1([H])O[C]([H])(N2C([H])=NC3=C2C([H])=C(C(=C3[H])C([H])([H])[H])C([H])([H])[H])C([H])(O[H])C1([H])O[H]	
DB06636			[H]C(C)(OC(=O)N(C)C1=C(COC(=O)CNC)C=CC=N1)[N+]1=CN(C[C](O)(C2=C(F)C=CC(F)=C2)[C]([H])(C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)N=C1	
			[H][C]1(O)CC2=C(OC1([H])C1=CC(O)=C(OC)C(O)=C1)C(=C(O)C=C2O)[C]1([H])C2=C(O)C=C(O)C=C2O[C]([H])(C2=CC=C(O)C=C2)[C]1([H])O	
			[H]OC(=O)[C]([H])(N([H])C(=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	
			[H]OC(=O)C1([H])N(C(=O)C([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	
			[H][C]12OC(=O)[CH](C)[C]1([H])[CH](CC(C)=CC[CH](O)C(C)=C2)O[C]1([H])O[CH](CO[CH]2OC[C](O)(CO)[CH]2O)[CH](O)[CH](O)[CH]1O	
DB01249			CC(=O)N(CC(O)CN(C(C)=O)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I)C1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I	
