DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			COC1=C(O)C2=C(OC=C(C2=O)C2=CC=C(O)C=C2)C=C1O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O	
			[H][C]1(CC[C]2([H])C3=CC=C4C[CH](O)CC[C]4(C)[C]3([H])CC[C]12C)[CH](C)CCC=C(C)C	
		1628	C1C2(C3(C(C1(C4(C2(O4)[H])[H])[H])(C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl)[H])[H])[H]	
			[H][C]1(CO)O[C]([H])(OC(=O)C2=CC(OC)=C(O)C=C2)[C]([H])(O)[C]([H])(O)[C]1([H])O	
			[H][C]1(CO)O[C]([H])(OC2=C(OC)C=C(C=C2)C(O)=O)[C]([H])(O)[C]([H])(O)[C]1([H])O	
			[H][C](C)(N[C]([H])(CCC1=CC=CC=C1)C(=O)OCC)C(=O)N1CC2=CC=CC=C2C[C]1([H])C(O)=O	T3D4733
			OC[CH]1O[CH](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[CH](O)[CH]1O	
			[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]	
			CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCC=CCC	
			[H][C](OC(=O)[C]1([H])[C]([H])(C=C(Br)Br)C1(C)C)(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1	T3D1035
			COC1=CC=C(C(O)=C1OC)C1=C(N)C(=NC(C(O)=O)=C1C)C1=CC=C2C(=O)C(OC)=C(N)C(=O)C2=N1	
DB00519			[H][C]12C[CH](N(C(=O)[CH](C)N[CH](CCC3=CC=CC=C3)C(=O)OCC)[C]1([H])CCCC2)C(O)=O	
			[H]N([H])[C]([H])(C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	
DB08903			COC1=NC2=C(C=C(Br)C=C2)C=C1[CH](C1=CC=CC=C1)[C](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2	
			[H][C]1(C[S+](C)CCC[NH3+])O[C]([H])(N2C=NC3=C(N)N=CN=C23)[C]([H])(O)[C]1([H])O	
			CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CO)C(OO)C(O)C1O)OC(=O)CCCCCCCC=CCC=CCC=CCC	
			[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H]	
		1272	CC1(C)C(C(=C(C2=CC=C(C=C2)Cl)Cl)[H])C1C(=O)OC(C#N)C=3C=CC(=C(C3)OC4=CC=CC=C4)F	
DB01477			[Br-].[H][C]12OC3=C(OC)C=CC4=C3[C]11CC[N+](C)(C)[C]([H])(C4)[C]1([H])C=C[CH]2O	
			CCCCCCCCC=CCCCCCCCC(=O)O[Al](OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC	T3D1548
			[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H]	
			[H][C](COC(=O)CCCCCCCC=CCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC	
			OC[CH]1O[CH](OC2C(OC3=C(C2=O)C(O)=CC(O)=C3)C2=CC=C(O)C=C2)[CH](O)[CH](O)[CH]1O	
			[H][C]1(CC[C]2([H])[C]3([H])CC[C]4([H])CC(=O)CC[C]4(C)[C]3([H])CC[C]12C)C(C)=O	
			[H][C]12CC=C3C4CC[CH]([CH](C)CC[CH](CC)C(C)C)[C]4(C)CCC3[C]1(C)CC[CH](O)[CH]2C	
			[H][C]1(CC[C]2([H])C3=C(CC[C]12C)[C]1(C)CCC(=O)C[C]1([H])CC3)[CH](C)CCC=C(C)C	
DB13954			[H][C]1(CC[C]2([H])[C]3([H])CCC4=CC(O)=CC=C4[C]3([H])CC[C]12C)OC(=O)CCC1CCCC1	
DB09091			[H][C]12CC[C](O)(C(=O)CS)[C]1(C)C[CH](O)[C]1([H])[C]2([H])CCC2=CC(=O)CC[C]12C	
			[H]N(C([H])=O)C1=C(N([H])C(=O)C([H])([H])[H])C(=O)N(C(=O)N1[H])C([H])([H])[H]	
			[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])N([H])C([H])([H])[H]	
DB08911			CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=CC=C(I)C=C1F)C1=CC(NC(C)=O)=CC=C1	
			[H]OC(=O)C(O[C]1([H])C([H])=C(C([H])=C([H])[C]1([H])O[H])C(=O)O[H])=C([H])[H]	
DB11660			O[CH](CC[CH]1[CH](O)C[CH](O)[CH]1CC=CCCCC(=O)OCCCCO[N+]([O-])=O)CCC1=CC=CC=C1	
DB00741			[H][C]12CC[C](O)(C(=O)CO)[C]1(C)C[CH](O)[C]1([H])[C]2([H])CCC2=CC(=O)CC[C]12C	
			COC(=O)C1=CO[CH](O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)[CH]2[CH](C)CC(=O)[CH]12	
			OC1=CC=C(C=C1)[CH]1OC2=C(C=C(C=CC3=CC(O)=CC(O)=C3)C=C2)[CH]1C1=CC(O)=CC(O)=C1	
DB09291			C[CH](OC[C]1(CC[C]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F	
			[H][C](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC	
			COC(=O)N(C(=O)N1CO[C]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1	T3D3864
			[H]OC([H])([H])[C]1([H])OC([H])([H])[C]([H])(O[H])[C]([H])(O[H])[C]1([H])O[H]	
			[H][C]12CCC[C]1([H])N([CH](C2)C(O)=O)C(=O)[CH](C)N[CH](CCC1=CC=CC=C1)C(=O)OCC	
			[H]C1=C(C)C2OC(CC2C)CCC(O)C(C)=C([H])C2C(C)=C(CCC22CCCN=C2CC1)C1OC(=O)C(C)=C1	T3D4051
			[Na+].[Na+].OS(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C1NC2=C(C=C(C=C2)S(O)(=O)=O)C1=O	
DB01573			[H][C]12OC3=C(OCC4=CC=CC=C4)C=CC4=C3[C]11CCN(C)[C]([H])(C4)[C]1([H])C=C[CH]2O	
			OCC1OC(OCC2OC(OCC3OC(OCC4OC(O)C(O)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	
			CCCCCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CO)C(OO)C(O)C1O)OC(=O)CCCCCCCC=CCC=CCC=CCC	
DB06614			[H][C](N=C(C)O)(C(CC)CC)[C]1([H])[C]([H])(O)[C]([H])(C[C]1([H])NC(N)=N)C(O)=O	
DB01599			CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	
			[H]OC(=O)C1([H])N(C(=O)C([H])([H])N([H])[H])C([H])([H])C([H])(O[H])C1([H])[H]	
			COC1=CC(CC2COC(=O)C2CC2=CC(OC)=C(O)C=C2)=CC(C(CO)C(=O)C2=CC(OC)=C(O)C=C2)=C1O	
			CC(=O)NC1C(O)CC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2O)(OC1C(O)C(O)CO)C(O)=O	
			COC1=CC(CC2COC(=O)C2CC2=CC(C(CO)C(=O)C3=CC=C(O)C(OC)=C3)=C(O)C(OC)=C2)=CC=C1O	
DB00957			[H][C]12CC[C](OC(C)=O)(C#C)[C]1(CC)CC[C]1([H])[C]3([H])CCC(C=C3CC[C]21[H])=NO	
			OC[CH]1OC([CH](O)[CH](O)[CH]1O)C1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2O)C=C1O	
DB01413			CON=C(C(=O)N[CH]1C(=O)N2[C]1([H])SCC(C[N+]1(C)CCCC1)=C2C([O-])=O)C1=CSC(N)=N1	
			[H]OC(=O)[C]([H])(O[H])C([H])([H])[C]([H])(O[H])[C]([H])(O[H])C([H])([H])O[H]	
			[H][C]1(C)CC2=C(C(OCC(=CC)C=O)=C(OC)C(OC)=C2)C2=C(C[C]1(C)O)C=C(OC)C(OC)=C2OC	
DB01569			[H][C]12CC[C](C)(O)[C]1(C)C[CH](O)[C]1([H])[C]2([H])CCC2=CC(=O)C(C=O)=C[C]12C	
			[H]OC(=O)C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H]	
			[H][C]12CC[CH]([CH](C)CCC=C(C)C)[C]1(C)CC=C1C2=CC[C]2([H])C(C)[CH](O)CC[C]12C	
			COC1=CC(=CC2=C1OCO2)C1=CC2=C(CC3(O)C(C)(CCC4(O)C(C)(C)C=CC(=O)C34C)O2)C(=O)O1	T3D3746
			COC1=CC(=CC(OC)=C1O)C1=CC2=C(CC3(O)C(C)(CCC4(O)C(C)(C)C=CC(=O)C34C)O2)C(=O)O1	T3D3747
			[H][C]12CC[C]3(O)C[C]1(CC3=C)[CH](C(O)=O)[C]1([H])[C]3(C)[CH](O)C=C[C]21OC3=O	
DB00178			[H][C]12CCC[C]1([H])N([CH](C2)C(O)=O)C(=O)[CH](C)N[CH](CCC1=CC=CC=C1)C(=O)OCC	
			[H]C(CNC1=C2N=CN(C2=NC=N1)[C]1([H])O[C]([H])(CO)[C]([H])(O)[C]1([H])O)=C(C)CO	
		228	CCOC(CCC(CC1(C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)O)=O)=O	
DB11828			CCOC1=C(NC(=O)C=CCN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N	
			[H]C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	
			[H]OC(=O)C([H])(O[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H]	
DB01452			[H][C]12OC3=C(OC(C)=O)C=CC4=C3[C]11CCN(C)[C]([H])(C4)[C]1([H])C=C[CH]2OC(C)=O	
DB01452			[H][C]12OC3=C(OC(C)=O)C=CC4=C3[C]11CCN(C)[C]([H])(C4)[C]1([H])C=C[CH]2OC(C)=O	
			CC(=O)NC1C(O)CC(OC2C(O)C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C2O)(OC1C(O)C(O)CO)C(O)=O	
			[H]OC(=O)[C]([H])(N([H])[H])[C]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	
			[H][C]12CC=C3C4CC[CH]([CH](C)CC[CH](C)C(C)C)[C]4(C)CCC3[C]1(C)CC[CH](O)[CH]2C	
			[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])(N([H])[H])C(=O)N([H])[H]	
DB01602			[H][C]12SC(C)(C)[CH](N1C(=O)[CH]2NC(=O)[CH](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC	
			CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C5CCC34C)C([O-])=O)C2C1)C([O-])=O	
			OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	T3D4005
DB11171			O.O.O.O.O.[Fe+3].[Fe+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O	
			CC(C)C1N2C(=O)C(C)(NC(=O)C3CN(C)C4CC5=CNC6=CC=CC(=C56)C4=C3)OC2(O)C2CCCN2C1=O	T3D3691
			NC1=NC2=C(N=CN2[CH]2O[CH](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[CH](O)[CH]2O)C(=O)N1	
	HMDB33844		CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[CH](O)CC1(C)C	
			[H]O[C]1([H])O[C]([H])(C([H])([H])SC([H])([H])[H])[C]([H])(O[H])[C]1([H])O[H]	
			[H]OC1=C([H])C(C(=O)C([H])([H])C([H])([H])N([H])[H])=C(N([H])[H])C([H])=C1[H]	
			O[CH]1[CH](O)[CH](OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC=C(O)C=C2)O[CH]([CH]1O)C(O)=O	
			NC1=NC(=O)N(C=C1)C1OC(COP([O-])(=O)OC2(CC(O)C(O)C(O2)C(O)CO)C([O-])=O)C(O)C1O	
			[H][C](COC(=O)CCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC	
DB01179			[H][C]12COC(=O)[C]1([H])[CH](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[CH]2O	
			[H][C](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC	
			[H]OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])([H])C(=C([H])[H])C([H])([H])[H]	
	HMDB02268		CC(C=CC=C(C)C=CC1C(C)=C[CH](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	
			O[CH]1[CH](O)[CH](OC2=CC=C3C(OC=C(C3=O)C3=CC=C(O)C=C3)=C2)O[CH]([CH]1O)C(O)=O	
			O=C(O[Sb](OC(=O)C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1	T3D1894
			[H][C](COC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC	
DB11712			CC(C)(CO)C1=CC2=CC(NC(=O)C3(CC3)C3=CC=C4OC(F)(F)OC4=C3)=C(F)C=C2N1C[CH](O)CO	
			OP(O)(=O)OC1C(OP(O)(O)=O)C(OP(O)(O)=O)C(OP(O)(O)=O)C(OP(O)(O)=O)C1OP(O)(O)=O	
DB06412			[H][C]12CC[C](C)(O)[C]1(C)CC[C]1([H])[C]2([H])CC[C]2([H])CC(=O)C(C[C]12C)=CO	
			[H]OS(=O)(=O)OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])N([H])[H]	
			OC[CH]1O[CH]([CH](O)[CH](O)[CH]1O)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=C(O)C=C1	
			[H][C]12CCC3C(=CC[C]4(C)C(CC[C]34C)[CH](C)CC[CH](CC)C(C)C)[C]1(C)CC[CH](O)C2	
			[H]C(O)(CO)C(=C)C(=O)O[C]1([H])O[C]([H])(CO)[C]([H])(O)[C]([H])(O)[C]1([H])O	
			[Al+3].OC(=O)C1=NN(C(O)=C1N=NC1=CC=C(C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O	
			CCCCCC=CCC=CCCCCCCCC(=O)OC(COC1OC(CO)C(O)C(O)C1O)COC(=O)CCCCCCCC=CCC=CCC=CCC	
			CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C)CCC32C)C1(C)C	
			[H][C](COC(=O)CCCCCCCC=CCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC	
			COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C(C1O[CH](C)C(=O)[CH](O)[CH]1O)=C2O	
			C1=CC2=C3C4=C5C6=C(C=CC7=C6C6=C(C=CC8=CC9=C(C3=C(C=C2)C=C9)C5=C68)C=C7)C=C14	T3D0631
			COC1=C(O)C=CC(=C1)C1=C(O[CH]2O[CH](CO)[CH](O)[CH]2O)C=C2C(O)=CC(O)=CC2=[O+]1	
			COC1=CC=C(C=C1)C1=COC2=CC(O[CH]3O[CH]([CH](O)[CH](O)[CH]3O)C(O)=O)=CC=C2C1=O	
			CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)C(O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	
DB06412			[H][C]12CC[C](C)(O)[C]1(C)CC[C]1([H])[C]2([H])CC[C]2([H])CC(=O)C(C[C]12C)=CO	
DB08912			CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	
			COC1=CC(CC2C(CC3=CC(OC)=C(O)C(=C3)C(CO)C(O)C3=CC=C(O)C(OC)=C3)COC2=O)=CC=C1O	
			[H]OC(=O)C([H])([H])N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	
			C[CH]1O[CH]([CH](O)[CH](O)C1=O)C1=C(O)C2=C(OC(=CC2=O)C2=CC(O)=C(O)C=C2)C=C1O	
			[H][C](COC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCC=CCCCC	
			CC(C)(C=C)C1=C2C3=C(NC2=CC=C1)C1(C)C(C3)CCC2(O)C3=CC(=O)C4OC3(CCC12C)OC4(C)C	T3D3726
			CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC	
			[H]OC(=O)C([H])([H])N([H])C(=O)C1([H])N([H])C([H])([H])C([H])([H])C1([H])[H]	
			C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1O)N1C=CC(N)=NC1=O	
			[H]OC(=O)C([H])([H])N([H])C(=O)C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])[H]	
			CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC=CC=C1O	
			[Na+].[Na+].CC1=C(OCCCC([O-])=O)C=CC(Cl)=C1.[O-]C(=O)CCCOC1=C(Cl)C=C(Cl)C=C1	
DB01346			CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1.COC1=CC2=C(C=CN=C2C=C1)C(O)C1CC2CCN1CC2C=C	
			[H][C]12CC[CH]([CH](C)CCC=C(C)C)[C]1(C)CC=C1C2CC[C]2([H])C(C)[CH](O)CC[C]12C	
			[H][C](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC	
DB09114			CCCCCCCCCCCCCCCC(=O)OC[CH](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	
			[H][C]12CC[CH]([CH](C)CCC=C(C)C)[C]1(C)CCC1=C2CC[C]2([H])C(C)[CH](O)CC[C]12C	
DB00429			OCC([NH3+])(CO)CO.CCCCC[C](O)(C)C=C[CH]1[CH](O)C[CH](O)[CH]1CC=CCCCC(=O)[O-]	
			[Na+].[Na+].OC1=CC=C2C=C(C=CC2=C1N=NC1=CC=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O	
			O[CH]1[CH](O)[CH](OC2=CC=C3C(=O)C(COC3=C2)C2=CC=C(O)C=C2)O[CH]([CH]1O)C(O)=O	
			COC1=C(O)C=C(C=C1)C1=C(O[CH]2O[CH](CO)[CH](O)[CH]2O)C=C2C(O)=CC(O)=CC2=[O+]1	
			COC1=C(O)C=C(C=C1)C1=C(O[CH]2O[CH](CO)[CH](O)[CH]2O)C=C2C(O)=CC(O)=CC2=[O+]1	
DB00136			C[CH](CCCC(C)(C)O)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)C[CH](O)C1=C	
DB08867			CN(C)C1=CC=C(C=C1)[CH]1C[C]2(C)[CH](CC[C]2(O)C(C)=O)[CH]2CCC3=CC(=O)CCC3=C12	
DB00635			[H][C]12CC[C](O)(C(=O)CO)[C]1(C)CC(=O)[C]1([H])[C]2([H])CCC2=CC(=O)C=C[C]12C	
	HMDB01903		C[CH](CCCC(C)(C)O)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)C[CH](O)C1=C	
			NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O	
			[H][C]12CC[C](O)(C(=O)CO)[C]1(C)CC(=O)[C]1([H])[C]2([H])CCC2=CC(=O)C=C[C]12C	T3D4710
			[H]OC(=O)C([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])[H]	
DB01070			CC(C)[CH](C)C=C[CH](C)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)CC[CH]1C	
DB00287			CC(C)OC(=O)CCCC=CC[CH]1[CH](O)C[CH](O)[CH]1C=C[CH](O)COC1=CC=CC(=C1)C(F)(F)F	
			[H][C]1(CO)O[C]([H])(OC2=C(OC)C=C(CC=C)C=C2)[C]([H])(O)[C]([H])(O)[C]1([H])O	
DB09063			CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1	
			OC[CH]1O[CH](OC2=CC=C(C=C2)C2=COC3=C(C=C(O)C(O)=C3)C2=O)[CH](O)[CH](O)[CH]1O	
			OC[CH]1O[CH](OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC(O)=C(O)C=C2)[CH](O)[CH](O)[CH]1O	
			[H]N([H])C1=C(C([H])=C([H])C([H])=C1[H])C(=O)C([H])([H])C([H])([H])N([H])[H]	
DB00872			CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1	
			[H]OC([H])([H])C(=O)[C]([H])(O[H])[C]([H])(O[H])[C]([H])(O[H])C([H])([H])[H]	
			[H][C]12CC=C3C4CC[CH]([CH](C)C=C[CH](CC)C(C)=C)[C]4(C)CCC3[C]1(C)CC[CH](O)C2	
DB00136			C[CH](CCCC(C)(C)O)[C]1([H])CC[C]2([H])C(CCC[C]12C)=CC=C1C[CH](O)C[CH](O)C1=C	
			O[CH]1C(O)[CH](OC2=CC3=C(C(=O)CC(O3)C3=CC=C(O)C=C3)C(O)=C2)OC([CH]1O)C(O)=O	
			COC1=CC=C(C=C1O)C1CC(=O)C2=C(O1)C=C(O[CH]1OC([CH](O)[CH](O)C1O)C(O)=O)C=C2O	
			[H]OC(=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]	
			CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CCC=CCC	
			CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1C(CCC1(C)O)C(C)(C)O	
DB09209			[H][C]12OC3=C(OCCN4CCOCC4)C=CC4=C3[C]11CCN(C)[C]([H])(C4)[C]1([H])C=C[CH]2O	
			CC1=C(C)C(=O)OC(C1)C(C)(O)C1(O)CCC2(O)C3CC(O)C4(O)C(O)C=CC(=O)C4(C)C3CCC12C	
			[H][C](COC(=O)CCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC	
			[H][C](COC(=O)CCCCC=CCC=CCC=CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC	
DB09209			[H][C]12OC3=C(OCCN4CCOCC4)C=CC4=C3[C]11CCN(C)[C]([H])(C4)[C]1([H])C=C[CH]2O	
			[H]OC(=O)C([H])([H])C([H])([H])[C]([H])(C([H])([H])[H])C([H])([H])C(=O)O[H]	
			[H][C]1(COP(O)(O)=O)O[C]([H])(N2C=NC3=C(N)N=C(F)N=C23)[C]([H])(O)[C]1([H])O	T3D4736
			CC(C)(O)C=CC1=CC2=C(NC3=C2CC2CCC4(O)C5=CC(=O)C6OC5(CCC4(C)C32C)OC6(C)C)C=C1	T3D3778
DB00858			[H][C]12CC[CH](O)[C]1(C)CC[C]1([H])[C]2([H])CC[C]2([H])CC(=O)[CH](C)C[C]12C	
			InChI=1SC9H11NO3c10-8(5-9(12)13)6-1-3-7(11)4-2-6h1-4,8,11H,5,10H2,(H,12,13)	
DB00858			[H][C]12CC[CH](O)[C]1(C)CC[C]1([H])[C]2([H])CC[C]2([H])CC(=O)[CH](C)C[C]12C	
			[H][C](CO)(COC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC	
DB08901			CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1	
			[H]OC([H])([H])[C]1([H])OC([H])(O[H])C([H])([H])[C]([H])(O[H])[C]1([H])O[H]	
			CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CO)C(O)C(O)C1O)OC(=O)CCCCCC=CCC=CCC=CCC	
DB06780			[H][C]12CC[CH](C(=O)COC(C)=O)[C]1(C)CC[C]1([H])[C]2([H])CCC2=CC(=O)CC[C]12C	
DB00559			COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1	
DB01568			[H][C]12OC3=C(OC)C=CC4=C3[C]11CC[N+](C)([O-])[C]([H])(C4)[C]1([H])C=C[CH]2O	
DB00701			CC(C)CN(C[CH](O)[CH](CC1=CC=CC=C1)NC(=O)O[CH]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1	
			COC1=CC=C(C=C1O[CH]1OC([CH](O)C(O)[CH]1O)C(O)=O)C1CC(=O)C2=C(O1)C=C(O)C=C2O	
DB00687			[H][C]12CC[C](O)(C(=O)CO)[C]1(C)C[CH](O)[C]1(F)[C]2([H])CCC2=CC(=O)CC[C]12C	
			[H]OC([H])([H])[C]([H])(O[H])[C]([H])(O[H])C(=O)C([H])([H])OP(=O)(O[H])O[H]	
			[H]OC(=O)C(=O)C([H])([H])C1(C([H])=C([H])C([H])(O[H])C([H])=C1[H])C(=O)O[H]	
DB01066			[H][C]12SCC(C=CC3=C(C)N=CS3)=C(N1C(=O)[CH]2NC(=O)C(=NOC)C1=CSC(N)=N1)C(O)=O	
		874	CN(CCC(CC(=NC1(C=CC(N2C=CC(=N)N=C2O)(OC1(C(=O)O)[H])[H])[H])O)(N)[H])C(=N)N	
			[H]OC(=O)C([H])([H])N(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	
			[H]O[C]1([H])O[C]([H])(C([H])([H])OP(=O)(O[H])O[H])[C]([H])(O[H])C1([H])[H]	
			[H]N1C(=O)N(C2=C1N(C(=O)N(C2=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	
			InChI=1SC4H8NO7Pc5-2(4(7)8)1-3(6)12-13(9,10)11h2H,1,5H2,(H,7,8)(H2,9,10,11)	
			[H][C]12CC=C3C4CC[CH]([CH](C)CC=C(C)C(C)C)[C]4(C)CCC3[C]1(C)CC[CH](O)[CH]2C	
			COC1=CC2=C(OC=C(C2=O)C2=CC=C(O)C=C2)C=C1O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O	
